STATE_PROVINCE_CODE,COUNTRY_CODE,STATE_PROVINCE_NAME
AL,US,Alabama
AK,US,Alaska
AZ,US,Arizona
AR,US,Arkansas
CA,US,California
CO,US,Colorado
CT,US,Connecticut
DE,US,Delaware
FL,US,Florida
GA,US,Georgia
HI,US,Hawaii
ID,US,Idaho
IL,US,Illinois
IN,US,Indiana
IA,US,Iowa
KS,US,Kansas
KY,US,Kentucky
LA,US,Louisiana
ME,US,Maine
MD,US,Maryland
MA,US,Massachusetts
MI,US,Michigan
MN,US,Minnesota
MS,US,Mississippi
MO,US,Missouri
MT,US,Montana
NE,US,Nebraska
NV,US,Nevada
NH,US,New Hampshire
NJ,US,New Jersey
NM,US,New Mexico
NY,US,New York
NC,US,North Carolina
ND,US,North Dakota
OH,US,Ohio
OK,US,Oklahoma
OR,US,Oregon
PA,US,Pennsylvania
RI,US,Rhode Island
SC,US,South Carolina
SD,US,South Dakota
TN,US,Tennessee
TX,US,Texas
UT,US,Utah
VT,US,Vermont
VA,US,Virginia
WA,US,Washington
WV,US,West Virginia
WI,US,Wisconsin
WY,US,Wyoming